Total_Experience,Total_Experience_in_field_applied,Department,Role,Industry,Organization,Designation,Education,Graduation_Specialization,University_Grad,Passing_Year_Of_Graduation,PG_Specialization,University_PG,Passing_Year_Of_PG,PHD_Specialization,University_PHD,Passing_Year_Of_PHD,Curent_Location,Preferred_location,Current_CTC,Inhand_Offer,Last_Appraisal_Rating,No_Of_Companies_worked,Number_of_Publications,Certifications,International_degree_any,Expected_CTC
0,0,,,,,fresher,PG,Arts,Lucknow,2020.0,,,,,,,Guwahati,Pune,0,N,,0,0,0,0,384551
23,14,HR,Consultant,Analytics,H,HR,Doctorate,Chemistry,Surat,1988.0,Others,Surat,1990.0,Chemistry,Mangalore,1997.0,Bangalore,Nagpur,2702664,Y,Key_Performer,2,4,0,0,3783729
21,12,Top Management,Consultant,Training,J,fresher,Doctorate,Zoology,Jaipur,1990.0,Zoology,Jaipur,1992.0,Zoology,Lucknow,1999.0,Ahmedabad,Jaipur,2236661,Y,Key_Performer,5,3,0,0,3131325
15,8,Banking,Financial Analyst,Aviation,F,HR,Doctorate,Others,Bangalore,1997.0,Zoology,Bangalore,1999.0,Chemistry,Guwahati,2005.0,Kanpur,Kolkata,2100510,N,C,5,3,0,0,2608833
10,5,Sales,Project Manager,Insurance,E,Medical Officer,Grad,Zoology,Mumbai,2004.0,Zoology,Mumbai,2006.0,Zoology,Bangalore,2010.0,Ahmedabad,Ahmedabad,1931644,N,C,2,3,0,0,2221390
16,3,Top Management,Area Sales Manager,Retail,G,Director,Doctorate,Others,Bangalore,1998.0,Zoology,Bangalore,2000.0,Others,Bhubaneswar,2004.0,Pune,Bhubaneswar,3511167,Y,C,5,4,0,0,4522383
1,1,Engineering,Team Lead,FMCG,L,Marketing Manager,Grad,Chemistry,Delhi,2011.0,Chemistry,Delhi,2013.0,Chemistry,Mangalore,2019.0,Delhi,Pune,492917,Y,B,3,3,0,0,630933
19,11,Others,Analyst,Others,E,Manager,PG,Sociology,Delhi,2001.0,,,,,,,Surat,Bangalore,2693459,N,C,6,1,1,0,3221376
8,7,Analytics/BI,Others,Telecom,L,Marketing Manager,Doctorate,Psychology,Mumbai,2003.0,Psychology,Mumbai,2005.0,Psychology,Pune,2012.0,Nagpur,Guwahati,1630225,N,A,6,6,0,0,2288835
15,15,Analytics/BI,CEO,Telecom,M,Product Manager,Doctorate,Chemistry,Delhi,1998.0,Chemistry,Delhi,2000.0,Chemistry,Jaipur,2005.0,Bangalore,Bhubaneswar,1761797,Y,A,5,6,0,1,2466515
13,10,Education,Business Analyst,Automobile,L,Consultant,Doctorate,Mathematics,Mangalore,2000.0,Mathematics,Mangalore,2002.0,Others,Guwahati,2007.0,Bangalore,Nagpur,2232801,Y,Key_Performer,3,3,0,0,3125921
7,1,Marketing,Sales Manager,FMCG,E,CA,PG,Others,Mumbai,2004.0,Chemistry,Mumbai,2006.0,Others,Surat,2013.0,Jaipur,Mangalore,1351191,N,B,2,8,1,0,1756548
10,10,Others,Bio statistician,Automobile,H,Consultant,Under Grad,,,,,,,,,,Surat,Kanpur,1446451,N,C,3,2,1,0,1663418
0,0,,,,,fresher,PG,Engineering,Nagpur,2012.0,Engineering,Nagpur,2014.0,Engineering,Kolkata,2020.0,Nagpur,Bangalore,0,N,,0,6,0,0,639655
12,9,Banking,Bio statistician,Telecom,J,Research Scientist,Grad,Zoology,Surat,2002.0,Others,Surat,2004.0,Others,Delhi,2008.0,Jaipur,Mumbai,1990865,N,C,6,3,0,0,2289494
20,15,Healthcare,Analyst,IT,F,Medical Officer,PG,Sociology,Mumbai,2000.0,Sociology,Mumbai,2014.0,,,,Kolkata,Kolkata,2624073,N,B,5,1,0,0,3411294
4,4,Analytics/BI,Scientist,Analytics,G,Sr.Manager,Doctorate,Mathematics,Kolkata,2016.0,Mathematics,Kolkata,2009.0,,,,Surat,Guwahati,1079725,Y,A,5,2,0,0,1572079
21,7,Healthcare,Research Scientist,BFSI,G,Product Manager,Doctorate,Sociology,Lucknow,1990.0,Others,Lucknow,1992.0,Botony,Delhi,1999.0,Surat,Chennai,3495505,N,B,4,4,0,0,4718931
14,9,Sales,Business Analyst,Telecom,M,Product Manager,Under Grad,,,,,,,,,,Bhubaneswar,Chennai,1290371,N,D,5,3,1,0,1483926
8,3,Engineering,Consultant,Telecom,O,Manager,Doctorate,Engineering,Delhi,2004.0,Engineering,Delhi,2006.0,Engineering,Kolkata,2012.0,Surat,Bhubaneswar,2149333,N,C,3,3,0,0,2669471
17,12,HR,Others,Training,M,Medical Officer,Grad,Arts,Ahmedabad,1997.0,Arts,Ahmedabad,1999.0,Arts,Mangalore,2003.0,Nagpur,Pune,2573882,N,D,4,3,0,0,2959964
7,6,Banking,Analyst,Training,M,Sr.Manager,Doctorate,Mathematics,Jaipur,2013.0,Mathematics,Jaipur,2017.0,,,,Mangalore,Kanpur,1669585,N,A,6,2,0,0,2344097
22,6,Top Management,Consultant,BFSI,D,Sr.Manager,Under Grad,,,,,,,,,,Delhi,Pune,2148699,Y,A,2,8,5,0,2793308
15,10,Sales,Head,Insurance,N,Research Scientist,Grad,Botony,Jaipur,1999.0,Others,Jaipur,2001.0,Arts,Delhi,2005.0,Pune,Surat,2227905,N,B,2,7,0,0,2784881
3,2,Banking,Associate,Aviation,A,Data Analyst,Doctorate,Statistics,Mumbai,2011.0,Statistics,Mumbai,2013.0,Statistics,Mangalore,2017.0,Guwahati,Mangalore,954597,Y,B,3,8,0,0,1336435
21,20,Analytics/BI,Consultant,IT,J,Data Analyst,PG,Economics,Kolkata,1993.0,Economics,Kolkata,1995.0,Economics,Surat,1999.0,Ahmedabad,Kolkata,3559515,Y,Key_Performer,3,4,2,0,4698559
5,4,Engineering,Consultant,Training,N,Assistant Manager,Grad,Chemistry,Delhi,2009.0,Chemistry,Delhi,2011.0,Chemistry,Kolkata,2015.0,Mumbai,Ahmedabad,525425,N,B,2,4,4,0,656781
24,7,Analytics/BI,Analyst,Others,G,Product Manager,Grad,Statistics,Mangalore,1989.0,Others,Mangalore,1991.0,Mathematics,Lucknow,1996.0,Kanpur,Ahmedabad,2485496,Y,D,4,7,0,0,2926920
19,7,Healthcare,Project Manager,Telecom,D,Others,Under Grad,,,,,,,,,,Kanpur,Delhi,2617413,Y,Key_Performer,3,4,1,0,3402636
21,0,Healthcare,Head,IT,B,Data Analyst,Doctorate,Botony,Guwahati,1991.0,Botony,Guwahati,1993.0,Botony,Bhubaneswar,1999.0,Nagpur,Nagpur,2230602,N,C,3,8,0,1,2770407
4,4,,Bio statistician,Others,O,Medical Officer,Under Grad,,,,,,,,,,Bangalore,Surat,565089,N,B,3,1,2,0,706361
2,0,Banking,Sales Manager,FMCG,I,Manager,Grad,Zoology,Pune,2012.0,Zoology,Pune,2014.0,Zoology,Guwahati,2018.0,Pune,Surat,462225,N,A,3,8,0,0,577781
12,0,,Senior Researcher,BFSI,N,Marketing Manager,PG,Arts,Nagpur,2008.0,,,,,,,Kanpur,Surat,1433186,N,D,6,0,0,0,1714090
13,9,Healthcare,Analyst,Automobile,E,Others,PG,Others,Lucknow,2000.0,Chemistry,Lucknow,2002.0,Others,Pune,2007.0,Mumbai,Jaipur,2312085,Y,Key_Performer,2,8,1,0,3051952
16,10,IT-Software,Consultant,Retail,K,Web Designer,Grad,Mathematics,Pune,1997.0,Others,Pune,1999.0,Mathematics,Delhi,2004.0,Guwahati,Lucknow,2449021,N,A,2,5,0,0,3061276
12,12,Sales,Analyst,Insurance,P,Assistant Manager,Doctorate,Engineering,Ahmedabad,2002.0,Engineering,Ahmedabad,2004.0,Others,Delhi,2008.0,Jaipur,Lucknow,2458995,Y,Key_Performer,3,8,0,0,3442593
3,0,Banking,Team Lead,Training,L,Marketing Manager,Under Grad,,,,,,,,,,Mangalore,Nagpur,649849,N,C,1,7,0,0,747326
12,5,Banking,Project Manager,FMCG,P,Marketing Manager,PG,Mathematics,Bangalore,2001.0,Mathematics,Bangalore,2003.0,Mathematics,Bhubaneswar,2008.0,Bhubaneswar,Bangalore,1462196,N,C,4,7,1,0,1748786
21,16,Others,Consultant,BFSI,H,Medical Officer,Under Grad,,,,,,,,,,Bangalore,Chennai,1787775,N,B,5,3,3,0,2234718
25,6,Accounts,Analyst,FMCG,A,Consultant,PG,Engineering,Ahmedabad,1988.0,Engineering,Ahmedabad,1990.0,Others,Mangalore,1995.0,Bhubaneswar,Lucknow,1792177,N,C,4,8,0,0,2143443
9,8,,Senior Researcher,Insurance,M,Sr.Manager,Under Grad,,,,,,,,,,Pune,Pune,972677,Y,Key_Performer,6,6,3,0,1264480
